Time (ms),Steps,Pi Value,Threads
49964.1,4294967295,3.1415926538226313,1
49799.9,4294967295,3.1415926538226313,1
49781.3,4294967295,3.1415926538226313,1
28362.8,4294967295,3.141592653822627,2
28402.9,4294967295,3.141592653822627,2
28395.7,4294967295,3.141592653822627,2
17927.7,4294967295,3.1415926538226264,4
17981.0,4294967295,3.1415926538226264,4
18112.5,4294967295,3.1415926538226264,4
11776.0,4294967295,3.1415926538226246,8
11373.7,4294967295,3.1415926538226246,8
11332.4,4294967295,3.1415926538226246,8
11526.3,4294967295,3.1415926538226255,16
11478.1,4294967295,3.1415926538226255,16
11463.9,4294967295,3.1415926538226255,16
